avatar,name,current_streak,posts,likes,reposts,comments_and_replies,reach,impressions,views
https://buffer-account-avatars-bucket.s3.amazonaws.com/621619b3d4670560554412e2%2Fuploads%2F1738581884710%2F3oCCmHZoy8UplolmJWVGe-IMG_5192.JPG,Tamilore Oladipo,26,42,5200,0,1174,0,0,2099
https://buffer-account-avatars-bucket.s3.amazonaws.com/6807a68bca88be80a98f20a6/uploads/1748130482314/0ab43e70-70fe-472f-8c72-f53b49249f42.png,sabreen,10,31,2353,3,419,0,0,764
,Mike E (rules!),25,36,1526,8,367,499,0,23276
https://buffer-account-avatars-bucket.s3.amazonaws.com/000000000000000000000196%2Fuploads%2F1736809471624%2FmNG6ZHfRqf3VL_aVG9Uwf-fe7hm2ounpuu2qfe5akj.jpeg,andy,26,156,1392,7,46,16335,97,30620
https://buffer-account-avatars-bucket.s3.amazonaws.com/645912dce54e57cc9305b3fd%2Fuploads%2F1738115638183%2FllUN2-caR0t3-DjZms15S-IMG_2046.jpeg,Brandon Lucas Green,26,107,1370,50,297,721,30,21967
https://buffer-account-avatars-bucket.s3.amazonaws.com/5bdcb1018e9f4900068b1dad/uploads/1747073401007/4721851f-8e45-4161-97fd-59f6e28c7231.png,,26,25,987,0,225,0,0,4967
https://buffer-account-avatars-bucket.s3.amazonaws.com/66f31838bf7d066587ef9db4/uploads/1750254659107/e4051086-0eb2-43e3-aed4-83a20c27e164.png,maggie,7,9,958,11,488,0,0,46846
https://buffer-account-avatars-bucket.s3.amazonaws.com/5c6426e5f4726272a17f95d3/uploads/1749811485819/6c2c996b-d39f-4add-be7b-121c2433f481.jpeg,Maya,7,34,840,0,150,30950,17,35668
,,17,19,699,8,179,159,0,14285
https://buffer-account-avatars-bucket.s3.amazonaws.com/5c374dd85542492009f40f63/uploads/1750339167752/cb356102-0b53-4fd2-aa3f-f9c4a7e3c19e.png,joe,23,16,601,0,61,397,0,171
https://buffer-account-avatars-bucket.s3.amazonaws.com/664b9302790e6ab9db78b362/uploads/1750254415457/5b94a77a-ccc6-452c-951a-c861ca8a213a.png,Suzanne,3,7,436,1,197,0,0,708
https://buffer-account-avatars-bucket.s3.amazonaws.com/60487d1482def759036ff953%2Fuploads%2F1736833772362%2F83LCwS_ElTMEaV3zQp8-j-edu.jpg,,7,63,431,0,8,4414,2322,8533
https://www.gravatar.com/avatar/4b97c6fd1a5e13d194c563cb3d7a8b6f?d=https%3A%2F%2Fs3.amazonaws.com%2Fbuffer-ui%2FDefault%2BAvatar.png,,12,49,348,0,193,606,1,4843
https://buffer-account-avatars-bucket.s3.amazonaws.com/64da75a8bb6ade26976f548a/uploads/1746615155594/414b3830-cdda-4ca3-81ca-9611aacd8668.png,kirsti,25,12,333,6,140,0,0,3930
https://www.gravatar.com/avatar/d341d847f16257425ebd3a39ac25381d?d=identicon,,24,59,323,6,66,1778,83,3291
https://buffer-account-avatars-bucket.s3.amazonaws.com/60af46fe830bdb50b56c8db3%2Fuploads%2F1741637101071%2FGELwKmOVWdfzZhZ0bQobU-Screen_Shot_2020-02-17_at_3.16.54_AM.png,,26,37,307,0,114,0,28835,0
https://buffer-account-avatars-bucket.s3.amazonaws.com/4f65cb5f512f7e193f00008e%2Fuploads%2F1736807347958%2FZnZEAE4k9-qLDmhJpA9oH-joel-large.png,,4,7,288,3,28,3024,0,1404
https://buffer-account-avatars-bucket.s3.amazonaws.com/000000000000000000022631%2Fuploads%2F1736848861298%2FlabwNIEXFY8YFFNcZfjcQ-Juliet%2520headshot%25202000px.jpg,Juliet,9,35,216,7,44,8,0,8047
https://buffer-account-avatars-bucket.s3.amazonaws.com/5c374dbc5542492009f3eb54/uploads/1747831747849/5c8b2d87-3d16-4613-9532-9c78a5e9c9f7.png,jenny,25,4,215,0,20,0,0,0
,raf,8,45,163,0,48,1563,2521,3780
https://buffer-account-avatars-bucket.s3.amazonaws.com/55f7a23bfef4bf1429c9d742%2Fuploads%2F1738199728385%2FCT78qEqs41wwtc5WVjLYY-Mel%2520only.jpeg,Mel,25,56,149,7,41,1631,15,2579
https://www.gravatar.com/avatar/0e90ae5b47f237434733b4ba6ade8dd3?d=https%3A%2F%2Fs3.amazonaws.com%2Fbuffer-ui%2FDefault%2BAvatar.png,,25,24,149,11,12,4068,0,0
https://buffer-account-avatars-bucket.s3.amazonaws.com/5bca413fa098a100067702a5/uploads/1746543656452/39e79b89-4cd8-40fb-831c-a8a406b5de90.png,Danny Mulcahy,26,26,140,0,19,10,1080,159
https://buffer-account-avatars-bucket.s3.amazonaws.com/4eed3423512f7e7e73000004%2Fuploads%2F1741706319472%2FAU8PTmcjis9oEG1QOsQkt-IMG_5061.jpeg,,5,6,117,0,19,0,0,0
https://buffer-account-avatars-bucket.s3.amazonaws.com/5bca17f2445bc900079985cc/uploads/1746561015009/fbf40efc-c550-4baf-a0a0-a2d2986a3c2d.jpg,Ross Parmly,8,4,114,0,9,0,0,429
https://buffer-account-avatars-bucket.s3.amazonaws.com/5bc9c3267bbbb70007d7734d/uploads/1750371177758/a3ca5533-afef-4d8b-9c19-ba97d83fb0d7.png,Darcy Peters,12,24,103,1,12,206,0,532
https://www.gravatar.com/avatar/e75ff657b1ab3568a45d67949ee8cd2c?d=identicon,Mick Mahady,1,1,97,0,2,0,0,0
,,11,3,93,0,11,873,0,1326
https://buffer-account-avatars-bucket.s3.amazonaws.com/5ca1d91569ec79395e8517be/uploads/1746620838172/d531edcc-b4ba-4490-b445-f2ba94f6365a.jpg,Adam Farmer,14,27,84,0,14,135,0,936
,,1,34,83,0,4,281,1,32
https://buffer-account-avatars-bucket.s3.amazonaws.com/61024c4289704e79586ece7a/uploads/1743560404635/3253ef58-5567-4b68-bb53-fe6190586628.jpg,Daisy Smith,13,16,71,0,3,298,3,592
https://buffer-account-avatars-bucket.s3.amazonaws.com/5c374d835542492009f39d32/uploads/1750251799195/679deb77-14a5-47d4-826d-b2b834496fd9.jpeg,Julian,1,14,62,3,13,176,0,448
https://buffer-account-avatars-bucket.s3.amazonaws.com/65f2028100ef11a3eb0a303e%2Fuploads%2F1740597894964%2FpJKIF-lieZtUyUO4v9R9e-david-luhr-headshot-2023.jpg,David,1,1,61,0,5,0,0,0
,,26,58,56,0,21,40,5,1860
https://buffer-account-avatars-bucket.s3.amazonaws.com/60dd6c5da74491f27e765142/uploads/1750088101495/a83bc186-27fb-4e6d-9e33-88d08a8512e6.png,sofia toso,26,15,52,0,20,599,4,343
https://www.gravatar.com/avatar/a5cd62f985f79b5299c0b1699d77c8eb?d=https%3A%2F%2Fs3.amazonaws.com%2Fbuffer-ui%2FDefault%2BAvatar.png,Nate Hanson,3,9,49,0,5,1369,132,1795
,,2,3,46,0,17,0,0,484
