week,posts,total_engagement,total_reach
2024-06-30T00:00:00.000Z,475,5821,113518
2024-07-07T00:00:00.000Z,544,24262,367969
2024-07-14T00:00:00.000Z,627,4564,98296
2024-07-21T00:00:00.000Z,472,6642,90123
2024-07-28T00:00:00.000Z,574,98477,1442848
2024-08-04T00:00:00.000Z,460,3268,84459
2024-08-11T00:00:00.000Z,371,3350,59728
2024-08-18T00:00:00.000Z,407,9785,179813
2024-08-25T00:00:00.000Z,441,4673,43148
2024-09-01T00:00:00.000Z,399,4488,64562
2024-09-08T00:00:00.000Z,364,2682,48547
2024-09-15T00:00:00.000Z,411,4785,161297
2024-09-22T00:00:00.000Z,329,4119,62404
2024-09-29T00:00:00.000Z,347,6045,164238
2024-10-06T00:00:00.000Z,374,4984,110501
2024-10-13T00:00:00.000Z,353,4246,91144
2024-10-20T00:00:00.000Z,488,3622,65791
2024-10-27T00:00:00.000Z,439,3196,59400
2024-11-03T00:00:00.000Z,356,3178,71120
2024-11-10T00:00:00.000Z,342,2957,40743
2024-11-17T00:00:00.000Z,350,6859,99548
2024-11-24T00:00:00.000Z,422,7132,149465
2024-12-01T00:00:00.000Z,529,3360,45392
2024-12-08T00:00:00.000Z,445,2415,43025
2024-12-15T00:00:00.000Z,445,6259,96188
2024-12-22T00:00:00.000Z,250,1697,29228
2024-12-29T00:00:00.000Z,242,2228,50048
2025-01-05T00:00:00.000Z,411,4664,47544
2025-01-12T00:00:00.000Z,477,3678,40018
2025-01-19T00:00:00.000Z,388,5141,1282776
2025-01-26T00:00:00.000Z,430,3758,42456
2025-02-02T00:00:00.000Z,358,3364,36954
2025-02-09T00:00:00.000Z,364,4005,77938
2025-02-16T00:00:00.000Z,304,6548,96996
2025-02-23T00:00:00.000Z,334,4284,108333
2025-03-02T00:00:00.000Z,394,3380,53250
2025-03-09T00:00:00.000Z,290,4657,46028
2025-03-16T00:00:00.000Z,403,7490,145864
2025-03-23T00:00:00.000Z,382,4010,61981
2025-03-30T00:00:00.000Z,380,5699,57413
2025-04-06T00:00:00.000Z,531,10327,148557
2025-04-13T00:00:00.000Z,500,9307,178691
2025-04-20T00:00:00.000Z,268,6014,51279
2025-04-27T00:00:00.000Z,236,13662,181200
2025-05-04T00:00:00.000Z,381,6441,93952
2025-05-11T00:00:00.000Z,395,9683,351135
2025-05-18T00:00:00.000Z,380,12282,201163
2025-05-25T00:00:00.000Z,400,6920,116727
2025-06-01T00:00:00.000Z,432,6557,137837
2025-06-08T00:00:00.000Z,375,9390,88846
2025-06-15T00:00:00.000Z,436,9061,125805
