week,posts,total_reach
2024-09-08T00:00:00.000Z,367,52124
2024-09-15T00:00:00.000Z,413,207754
2024-09-22T00:00:00.000Z,335,94776
2024-09-29T00:00:00.000Z,351,218625
2024-10-06T00:00:00.000Z,377,130958
2024-10-13T00:00:00.000Z,356,104146
2024-10-20T00:00:00.000Z,493,85496
2024-10-27T00:00:00.000Z,439,90562
2024-11-03T00:00:00.000Z,356,71284
2024-11-10T00:00:00.000Z,343,52887
2024-11-17T00:00:00.000Z,354,114359
2024-11-24T00:00:00.000Z,424,205210
2024-12-01T00:00:00.000Z,539,71088
2024-12-08T00:00:00.000Z,452,55764
2024-12-15T00:00:00.000Z,449,424080
2024-12-22T00:00:00.000Z,254,33443
2024-12-29T00:00:00.000Z,246,53850
2025-01-05T00:00:00.000Z,414,232045
2025-01-12T00:00:00.000Z,484,64970
2025-01-19T00:00:00.000Z,394,1333345
2025-01-26T00:00:00.000Z,437,88039
2025-02-02T00:00:00.000Z,363,55949
2025-02-09T00:00:00.000Z,372,109741
2025-02-16T00:00:00.000Z,315,138673
2025-02-23T00:00:00.000Z,338,320056
2025-03-02T00:00:00.000Z,400,85041
2025-03-09T00:00:00.000Z,299,72136
2025-03-16T00:00:00.000Z,404,184460
2025-03-23T00:00:00.000Z,390,87366
2025-03-30T00:00:00.000Z,390,104318
2025-04-06T00:00:00.000Z,533,178244
2025-04-13T00:00:00.000Z,512,587865
2025-04-20T00:00:00.000Z,273,131186
2025-04-27T00:00:00.000Z,242,294273
2025-05-04T00:00:00.000Z,384,178316
2025-05-11T00:00:00.000Z,405,422337
2025-05-18T00:00:00.000Z,393,278274
2025-05-25T00:00:00.000Z,405,239411
2025-06-01T00:00:00.000Z,457,227392
2025-06-08T00:00:00.000Z,383,329708
2025-06-15T00:00:00.000Z,447,623938
2025-06-22T00:00:00.000Z,444,354221
2025-06-29T00:00:00.000Z,395,366479
2025-07-06T00:00:00.000Z,421,291874
2025-07-13T00:00:00.000Z,537,677803
2025-07-20T00:00:00.000Z,472,990306
2025-07-27T00:00:00.000Z,480,1982918
2025-08-03T00:00:00.000Z,540,730380
2025-08-10T00:00:00.000Z,478,276963
2025-08-17T00:00:00.000Z,501,392732
2025-08-24T00:00:00.000Z,513,312123
