week,weekly_active_users
2024-06-23,94355
2024-06-30,94856
2024-07-07,94284
2024-07-14,94631
2024-07-21,93444
2024-07-28,94228
2024-08-04,93771
2024-08-11,94324
2024-08-18,94570
2024-08-25,96493
2024-09-01,99009
2024-09-08,99770
2024-09-15,100162
2024-09-22,100009
2024-09-29,101889
2024-10-06,102448
2024-10-13,103600
2024-10-20,104396
2024-10-27,106341
2024-11-03,105335
2024-11-10,107723
2024-11-17,109231
2024-11-24,109927
2024-12-01,111537
2024-12-08,109788
2024-12-15,107841
2024-12-22,98420
2024-12-29,99957
2025-01-05,107278
2025-01-12,110942
2025-01-19,113823
2025-01-26,115934
2025-02-02,117338
2025-02-09,120554
2025-02-16,118836
2025-02-23,121064
2025-03-02,121780
2025-03-09,120964
2025-03-16,121821
2025-03-23,121090
2025-03-30,122796
2025-04-06,122133
2025-04-13,123755
2025-04-20,125737
2025-04-27,126283
2025-05-04,126206
2025-05-11,128088
2025-05-18,127775
2025-05-25,199947
2025-06-01,129264
2025-06-08,128058
