month,channel,new_users,revenue
2023-12-01,Organic Search,870,11723
2023-12-01,Paid Search,1178,10482
2023-12-01,Social Media,756,11003
2023-12-01,Email,1498,6660
2023-12-01,Referral,1485,8482
2023-12-31,Organic Search,621,14744
2023-12-31,Paid Search,2580,9108
2023-12-31,Social Media,1360,15210
2023-12-31,Email,937,17247
2023-12-31,Referral,800,6404
2024-01-31,Organic Search,1287,8810
2024-01-31,Paid Search,1515,11668
2024-01-31,Social Media,1043,16792
2024-01-31,Email,2368,22849
2024-01-31,Referral,1469,17398
2024-03-02,Organic Search,716,6744
2024-03-02,Paid Search,1370,17598
2024-03-02,Social Media,789,15047
2024-03-02,Email,865,8858
2024-03-02,Referral,689,15229
2024-03-30,Organic Search,1564,7735
2024-03-30,Paid Search,2665,26083
2024-03-30,Social Media,1213,17899
2024-03-30,Email,2171,19725
2024-03-30,Referral,1877,9730
2024-04-30,Organic Search,2075,20252
2024-04-30,Paid Search,2176,13336
2024-04-30,Social Media,1585,23843
2024-04-30,Email,1101,19015
2024-04-30,Referral,1073,8672
